Old Equipment ID (still in sheet),Cells found,Category,Canonical/New ID,Note
441.FN.310,1,EDIT,441.FN310,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
441.FN.315,1,EDIT,441.FN315,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
441.FN.325,1,EDIT,441.FN325,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
441.FN.335,1,EDIT,441.FN335,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
742.CP.115,1,ADD (not in master DB),742.CP115,"742.CP115 does not exist anywhere in the master DB (neither EQUIPMENT_MASTER nor VIB_POINT_MASTER). Needs full onboarding — name, line, and points — before it can be added."
441.FN.340,1,EDIT,441.FN340,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
441.FN.345,1,EDIT,441.FN345,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
441.FN.350,1,EDIT,441.FN350,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
441.FN.590,1,EDIT,441.FN590,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
442.FN.300,1,EDIT,442.FN300,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
442.FN.305,1,EDIT,442.FN305,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
442.FN.310,1,EDIT,442.FN310,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
762.WI.215,1,ADD (needs vib points),762.WI215,"762.WI215 is a real asset in the master DB (""Water injection"", Line2) but has NO vibration points defined there at all. Needs someone to add its points to VIB_POINT_MASTER (or tell me its points directly) before it can get a VIB_ID."
442.FN.315,1,EDIT,442.FN315,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
442.FN.325,1,EDIT,442.FN325,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
442.FN.335,1,EDIT,442.FN335,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
442.FN.340,1,EDIT,442.FN340,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
442.FN.345,1,EDIT,442.FN345,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
442.FN.350,1,EDIT,442.FN350,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
442.FN.590,1,EDIT,442.FN590,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
451.FN.010,1,EDIT,451.FN010,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
451.FN.240,1,EDIT,451.FN240,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
452.FN.010,1,EDIT,452.FN010,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
452.FN.240,1,EDIT,452.FN240,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
461.FN.125,1,EDIT,461.FN125,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
461.FN.400,1,EDIT,461.FN400,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
461.FN.450,1,EDIT,461.FN450,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
462.FN.125,1,EDIT,462.FN125,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
462.FN.400,1,EDIT,462.FN400,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
462.FN.450,1,EDIT,462.FN450,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
531.FN.530,1,EDIT,531.FN530,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
532.FN.380,1,EDIT,532.FN380,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
532.FN.530,1,EDIT,532.FN530,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
533.FN.350,1,EDIT,533.FN350,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
534.FN.350,1,EDIT,534.FN350,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
643.FN.952,1,EDIT,643.FN952,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
